Iteration,ParticleID,InitialPosition,FinalPosition,Fitness
1,1,2.0000,2856.9682,0.1028,7.9830,0.9890,600.0000,0.2465,8.0000,0.0691
1,2,1.0182,4473.0464,0.2155,6.9584,0.5000,2783.0973,0.1865,4.4439,0.0547
1,3,0.5185,5814.1955,0.1470,6.0295,1.4262,4318.0616,0.2322,0.5000,0.0903
1,4,0.5921,5396.0467,0.2469,7.6986,2.0000,804.4161,0.1000,0.5000,0.0885
1,5,1.6385,5806.3435,0.1828,4.9824,1.0997,600.0000,0.1000,1.3907,0.0818
1,6,1.1598,3516.6808,0.2722,4.4095,1.9230,4622.2531,0.3000,3.9159,0.0570
1,7,0.9660,832.7478,0.2505,0.9389,1.8895,3343.7347,0.1000,0.5000,0.0883
1,8,1.2797,3518.8858,0.2254,5.7377,2.0000,600.0000,0.1714,0.5000,0.0912
1,9,1.3211,5385.0710,0.1037,7.9667,1.9448,3656.4593,0.1000,5.5816,0.0742
1,10,0.6730,3854.9713,0.1296,7.2035,1.2905,5243.4894,0.1721,7.4608,0.1099
1,11,1.3506,3647.3167,0.1567,2.0976,0.5115,5035.6711,0.1000,3.8577,0.0606
1,12,1.1208,3271.2350,0.2354,5.4011,2.0000,4382.3774,0.2546,8.0000,0.1232
1,13,1.9808,5634.5897,0.1196,0.8727,1.5095,6000.0000,0.1000,5.3029,0.1199
1,14,1.7352,616.3011,0.2357,6.6123,1.0124,2824.6627,0.3000,0.5000,0.0829
1,15,0.9201,652.7613,0.1059,5.6496,2.0000,1874.3397,0.1000,0.5859,0.0869
1,16,1.4219,1329.1837,0.1343,2.5567,2.0000,2321.4998,0.1151,7.0104,0.0801
1,17,1.1679,1662.9795,0.1908,7.7171,2.0000,4334.6773,0.1814,7.4042,0.0724
1,18,0.6283,3179.4158,0.2132,3.6057,1.5142,600.0000,0.1948,3.2015,0.1162
1,19,0.5534,3032.9598,0.1783,7.5801,1.2913,2113.3262,0.2924,2.4738,0.0791
1,20,1.7657,1512.1654,0.2014,1.9473,2.0000,3933.0668,0.1000,3.4725,0.0778
1,21,1.8393,4272.9572,0.1666,4.5869,1.2641,1770.5432,0.2954,1.7974,0.0717
1,22,0.7044,5839.8545,0.2535,0.7546,1.4336,2883.2078,0.1000,0.5000,0.0875
1,23,1.6851,3712.9368,0.2409,7.3939,2.0000,1269.8715,0.1000,2.2084,0.0845
1,24,0.8755,2511.6827,0.1406,7.7341,2.0000,2417.8170,0.1899,0.5000,0.0928
1,25,1.8229,3480.3810,0.2761,6.5978,1.7496,600.0000,0.2460,3.2070,0.0811
1,26,1.5934,5726.7583,0.1807,7.9564,1.2849,6000.0000,0.1925,6.1492,0.0590
1,27,0.9027,3053.5108,0.1495,3.8304,2.0000,639.4190,0.2103,5.9179,0.0798
1,28,1.6650,1384.0161,0.2925,3.1657,1.6222,600.0000,0.2128,4.0595,0.0783
1,29,0.7725,5847.4383,0.1904,6.6347,1.8439,1468.3439,0.1000,8.0000,0.0787
1,30,0.7807,3037.1151,0.2742,0.5399,0.8782,2327.5910,0.1491,7.9650,0.0640
1,31,1.6477,2071.8648,0.1665,2.3668,1.7630,600.0000,0.2041,0.5000,0.0880
1,32,0.7793,4473.9657,0.2145,4.6367,1.5475,5341.5650,0.2724,8.0000,0.0522
1,33,1.7737,4333.6666,0.1257,5.9606,2.0000,4111.3394,0.1000,0.5000,0.0849
1,34,1.9063,5792.7085,0.1793,6.7014,2.0000,1260.8303,0.1888,1.6495,0.1295
1,35,1.4729,1268.1141,0.2890,1.9836,1.9700,2120.8782,0.2716,5.0205,0.1222
