Iteration,BestFitness,BestParams
27,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
28,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
29,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
30,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
31,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
32,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
33,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
34,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
35,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
36,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
37,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
38,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
39,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
40,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
41,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
42,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
43,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
44,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
45,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
46,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
47,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
48,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
49,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
50,0.14321615223421352,{'DESIRED_FORCE_FACTOR': np.float64(2.0), 'SOCIAL_FORCE_A': np.float64(1000.0), 'SOCIAL_FORCE_B': np.float64(0.15121090240023946), 'VISION_RANGE': np.float64(5.719169977346263)}
